Name,Brand,Quantity,Reviews count,Star rating,Price,Crawl date,Màu,Shop name,Shop rating,Shop rating count,Dung lượng pin,Bluetooth,Thương hiệu,Xuất xứ thương hiệu,Chip đồ họa (GPU),Chip set,Tốc độ CPU,Kích thước,Loại/ Công nghệ màn hình,GPS,Hỗ trợ 4G,Hỗ trợ 5G,Phụ kiện đi kèm,Model,Jack tai nghe,Bộ nhớ khả dụng,Số sim,Loại pin,Loại Sim,Lưu ý,Nhà sản xuất,Chất liệu,Xuất xứ (Made in),Cổng sạc,Trọng lượng sản phẩm,RAM,Độ phân giải,ROM,Kích thước màn hình,Wifi,Sản phẩm có được bảo hành không?,Có thuế VAT,Hình thức bảo hành,Thời gian bảo hành,Describe,Hỗ trợ thẻ nhớ ngoài,Chức năng khác,Kết nối khác,Nghe nhạc,Pin có thể tháo rời,Hỗ trợ thẻ tối đa,Phương thức giao hàng Seller Delivery,Color,Cấu hình,Màu sắc
Điện thoại Samsung Galaxy S23 Ultra 12GB/512GB Xanh lục - Hàng chính hãng,Samsung,0,0,,34.000.000,2024-01-18,,GIA DỤNG VIỆT,4.4,7.3k+,,v5.3,Samsung,,,Snapdragon 8 Gen 2 Mobile Platform,Octa-core (8 nhân),,Edge Quad HD+,,,,,S918,,512GB,,,Nano,,,Khung nhôm & Mặt lưng kính cường lực,,Type-C,,, 2K+ (1440 x 3088 Pixels),,,"6 GHz, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi Direct",Có,Có,Điện tử,1,"Mô tả sản phẩm

Đặc điểm sản phẩm


Model:
S918


Màu sắc:
Xanh lục


Nhà sản xuất:
Samsung


Xuất xứ:
Việt Nam


 
 


 
 


 
 


RAM:
12GB


Bộ nhớ trong:
512GB


Hệ điều hành:
Android 13, One UI 5.1


CPU:
Octa-core (8 nhân)


Chipset:
Snapdragon 8 Gen 2 Mobile Platform


Loại màn hình:
Edge Quad HD+


Kích thước màn hình:
6.8 ""


Tần số quét màn hình:
120 Hz


Độ phân giải màn hình:
1440 x 3088 pixels


Camera trước:
12 MP


Camera sau:
200MP, 12MP, 10MP, 10MP (Zoom quang học 3x và 10x, Zoom Kỹ thuật số lên tới 100x1)


Đèn Flash:
LED Flash


Mạng 5G:
Kết nối 5G


Loại SIM:
Nano


Số khe SIM:
2


WIFI:
6 GHz, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi Direct


Bluetooth:
v5.3


GPS:
Có


USB:
Type-C


Dung lượng Pin:
5000mAh


Hỗ trợ sạc tối đa:
45 W


Mở khóa nhanh:
Mở khoá khuôn mặt, Mở khoá vân tay dưới màn hình


Thiết kế:
Nguyên khối


Chất liệu:
Khung nhôm & Mặt lưng kính cường lực


Ghi âm:
Ghi âm mặc định, Ghi âm cuộc gọi


Chống nước:
IP68


Kích thước sản phẩm:
163.4 x 78.1 x 8.9 mm


Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....Xem thêm",,"Mở khoá khuôn mặt, Mở khoá vân tay dưới màn hình",,,,,Nhà bán giao hàng cho khách hàng,,,
Điện thoại Samsung Galaxy S23 Ultra 5G (8GB/256GB) - Hàng chính hãng ,Samsung,1,0,,27.000.000,2024-01-18,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",GIA DỤNG VIỆT,4.4,7.3k+,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,Có,Điện tử,1,"Mô tả sản phẩmMô Tả Sản Phẩm






Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,,,,,,,
Điện thoại Samsung Galaxy S23 Ultra 5G 8GB/256GB - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,Samsung,3,1,5.0,22.490.000,2024-01-18,"Kem, Tím, Xanh, Đen",HAPPY PHONE,4.8,2.8k+,5000 mAh, v5.3,Samsung,,, Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Dài 163.4 mm - Ngang 78.1 mm - Dày 8.9 mm, Dynamic AMOLED 2X,,,,"Bộ sản phẩm gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn",, Type-C,216.6 GB,2.0, Li-Ion,Nano SIM hoặc 1 Nano SIM + 1 eSIM,,Samsung, Khung nhôm & Mặt lưng kính cường lực,Hàn Quốc,Type-C,Nặng 223 g,8GB, 2K+ (1440 x 3088 Pixels),256GB,6.8 inch,"Dual-band (2.4 GHz/5 GHz) , Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac/ax,  6 GHz",Có,Có,Điện tử,12,"Mô tả sản phẩmThiết kế đặc trưng
Về thiết kế thì Samsung Galaxy S23 Ultra sẽ tiếp tục thừa hưởng kiểu dáng sang trọng đến từ thế hệ trước, vẫn là bộ khung kim loại, mặt lưng kính cùng cạnh bên và màn hình bo cong. Nhờ kiểu bo cong này mà trải nghiệm cầm nắm cũng trở nên dễ chịu, viền màn hình hai bên cũng sẽ trở nên mỏng hơn.Về màu sắc, năm nay Samsung cũng đã cho ra các phiên bản màu như: Tím, kem, xanh và đen. Nhìn chung thì đây là những màu sắc cực kỳ sang trọng và lịch lãm, phù hợp cho các bạn trẻ năng động, mạnh mẽ và đặc biệt là những khách hàng đang là doanh nhân bởi ngoại hình đẳng cấp và thanh lịch

Màn hình lớn, hiển thị tốt mọi hình ảnh
Đối với phần màn hình thì Galaxy S23 Ultra sử dụng tấm nền Dynamic AMOLED 2X có kích thước 6.8 inch với tần số quét 120 Hz, và nổi bật không kém đó là độ phân giải màn hình QHD+ (1400 x 3088 Pixels).Nhờ đó mà không gian hiển thị hết sức rộng rãi để người dùng có thể xem phim thỏa thích, thao tác vuốt chạm giờ đây cũng trở nên trơn tru và mượt mắt hơn giúp cho mọi cử chỉ trong lúc chơi game của bạn được phản hồi nhanh chóng.Với tấm nền Dynamic AMOLED 2X cao cấp giúp mang đến cho bạn một góc nhìn rộng, màu sắc tươi mới đầy rực rỡ để biến mọi nội dung bạn xem trở nên ngập tràn sức sống, sự sắc nét nhờ độ phân giải cao cũng sẽ đem lại cho bạn trải nghiệm vô cùng tuyệt vời bởi nó giúp tái hiện lại các bộ phim được chân thực

Siêu bút S-Pen – ghi chú, phác thảo và hơn thế nữa
Di sản dòng Galaxy Note – bút S-Pen kết hợp với sự cải tiến mới cho thế hệ Galaxy S23 Ultra viết tiếp những kỳ tích, ghi lại những dấu ấn mạnh mẽ trong lòng người dùng. Bạn có thể đa nhiệm, tối ưu hiệu suất công việc cùng bút S-Pen với khả năng ghi chú, phác thảo nhanh chóng, tiện lợi mà không cần phải phụ thuộc vào sổ tay. Chỉ cần Samsung Galaxy S23 Ultra trong tay, mọi thứ đã sẵn sàng để lưu lại những ý tưởng tuyệt vời, khởi tạo nền tảng sáng tạo vững chắc. Đồng thời, sử dụng bút S-Pen còn thú vị hơn với tính năng điều khiển từ xa như chụp hình, mà không cần chạm màn hình.

Trọn bộ 4 camera đột phá, dẫn đầu xu hướng nhiếp ảnh
Hệ thống 4 camera đột phá trên Samsung Galaxy S23 Ultra chính là trọn bộ nhiếp ảnh di động tuyệt đỉnh trên thị trường. Sự góp mặt của những cảm biến vượt trội nhất đã mang đến siêu phẩm chưa từng có trên smartphone Galaxy, cho chất lượng ảnh sắc nét trong mọi điều kiện.

Bộ 4 camera này bao gồm: camera góc rộng 200MP, camera góc siêu rộng 12MP, camera tele 10MP (zoom quang 3x) và camera tele 10MP (zoom quang 10x). Hội tụ tất cả ấn tượng trên một siêu phẩm đẳng cấp, Galaxy S23 Ultra sẽ giúp bạn trở thành “nhiếp ảnh gia” ở mọi trình tạo và kiến tạo những tấm ảnh/video chuyên nghiệp dễ dàng.
Smartphone Galaxy đầu tiên có cảm biến siêu phân giải 200MP
Samsung Galaxy S23 Ultra đột phá với cảm biến 200MP – thông số camera cao nhất trên smartphone Samsung. Không chỉ vượt trội với điện thoại Samsung, mà đây còn là một trong điện thoại có camera tốt nhất trên thị trường. Camera giúp bạn ghi lại mọi khung hình một cách sắc nét, rực rỡ, độ chính xác vượt trội, bạn có thể thoải mái cắt bất kỳ chi tiết nào, mà chất lượng vẫn đảm bảo. Theo đó, để có được điều này, thiết bị sử dụng công nghệ gộp điểm ảnh, hỗ trợ nhiều cấp độ xử lý chuyên nghiệp cho từng điểm ảnh, đạt được chất lượng hoàn hảo, sẵn sàng thách thức mọi smartphone hiện nay.

Thế hệ chip mạnh nhất, mang tới những trận game bùng nổ
Hiệu năng đầy uy lực với sức mạnh vượt trội đến từ Snapdragon 8 Gen 2 for Galaxy – bộ xử lý Snapdragon dành riêng cho điện thoại Galaxy S23 series. So với chip Snapdragon 8 Gen 2 tiêu chuẩn, bản đặc biệt này được tăng cường thêm tốc độ xung nhịp cho CPU đến 3.36Hz (bản tiêu chuẩn 3.2GHz) và GPU đến 719 MHz (thay vì 680MHz). Sự khác biệt này giúp CPU tăng 34%, NPU tăng 49% và đồ họa GPU tăng 41% so với Snapdragon 8 Gen 1. Chính vì vậy, mọi trải nghiệm trên Galaxy S23 Ultra đều mượt mà, xử lý nhanh chóng, dù cho là những tựa game nặng để các trận game thật sự bùng nổ.

Viên pin bền bỉ cho cả ngày dài
Tích hợp loạt công nghệ cao cấp nhưng Galaxy S23 Ultra vẫn rất bền bỉ bởi viên pin 5.000mAh. Viên pin lớn này cho phép điện thoại đồng hành cùng bạn cả ngày, hỗ trợ công việc tối ưu, luôn giữ kết nối mọi lúc, mọi nơi hoặc giải trí nhẹ nhàng. Đồng thời, điện thoại cũng hỗ trợ sạc nhanh tiên tiến đến 45W, giúp lấy lại năng lượng nhanh hơn, tiết kiệm thời gian hiệu quả.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....Xem thêm",Không, Mở khoá khuôn mặtMở khoá vân tay dưới màn hình, OTGNFC,"AMR,  AAC,  WAV,  OGG, MP3,  Midi,  M4A",Không,Không,,,,
Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/1TB) - Hàng chính hãng ,Samsung,0,0,,42.000.000,2024-01-18,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",GIA DỤNG VIỆT,4.4,7.3k+,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,Có,Điện tử,1,"Mô tả sản phẩmMô Tả Sản Phẩm






Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,,,,,,,
Điện thoại Samsung Galaxy S23 Ultra (8GB/256GB) - Hàng chính hãng,Samsung,0,0,,30.000.000,2024-01-18,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",GIA DỤNG VIỆT,4.4,7.3k+,,v5.3,Samsung,,,Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz và 3 nhân 2 GHz",,Dynamic AMOLED 2X,,,,,,Type-C,216.6 GB,2.0,Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,,,Khung nhôm và Mặt lưng kính cường lực,,Type-C,223 g,, 2K+ (1440 x 3088 Pixels),,6.8 inch,Wi-Fi Direct  Dual-band (2.4 GHz/5 GHz)  Wi-Fi 802.11 a/b/g/n/ac/ax  6 GHz,Có,Có,Điện tử,1,"Mô tả sản phẩmMàn hình

Công nghệ màn hình:Dynamic AMOLED 2X
Độ phân giải:2K+ (1440 x 3088 Pixels)
Màn hình rộng:6.8"" - Tần số quét 120 Hz
Độ sáng tối đa:1750 nits
Mặt kính cảm ứng:Kính cường lực Corning Gorilla Glass Victus 2

Camera sau

Độ phân giải:Chính 200 MP & Phụ 12 MP, 10 MP, 10 MP
Quay phim:FullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps4K 2160p@60fpsFullHD 1080p@240fps8K 4320p@30fpsHD 720p@960fps
Đèn Flash:Có
Tính năng:Trôi nhanh thời gian (Time Lapse)Góc siêu rộng (Ultrawide)Zoom kỹ thuật sốGóc rộng (Wide)Quay chậm (Slow Motion)Xóa phôngToàn cảnh (Panorama)Chống rung quang học (OIS)Tự động lấy nét (AF)Ảnh RawBan đêm (Night Mode)Chuyên nghiệp (Pro)HDRZoom quang họcQuay Siêu chậm (Super Slow Motion)Làm đẹpLive PhotoBộ lọc màu

Camera trước

Độ phân giải:12 MP
Tính năng:Trôi nhanh thời gian (Time Lapse)Chụp đêmNhận diện khuôn mặtLàm đẹpQuay video Full HDQuay video HDNhãn dán (AR Stickers)Quay video 4KXóa phôngGóc siêu rộng (Ultrawide)Chuyên nghiệp (Pro)Live PhotoBộ lọc màu

Hệ điều hành & CPU

Hệ điều hành:Android 13
Chip xử lý (CPU):Snapdragon 8 Gen 2 for Galaxy
Tốc độ CPU:1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz
Chip đồ họa (GPU):Adreno 740

Bộ nhớ & Lưu trữ

RAM:8 GB
Dung lượng lưu trữ:256 GB
Dung lượng còn lại (khả dụng) khoảng:216.6 GB
Danh bạ:Không giới hạn

Kết nối

Mạng di động:Hỗ trợ 5G
SIM:2 Nano SIM hoặc 1 Nano SIM + 1 eSIM
Wifi:6 GHzWi-Fi DirectDual-band (2.4 GHz/5 GHz)Wi-Fi 802.11 a/b/g/n/ac/ax
GPS:BEIDOUGPSGLONASSGALILEO
Bluetooth:v5.3
Cổng kết nối/sạc:Type-C
Jack tai nghe:Type-C
Kết nối khác:NFCOTG

Pin & Sạc

Dung lượng pin:5000 mAh
Loại pin:Li-Ion
Hỗ trợ sạc tối đa:45 W
Công nghệ pin:Sạc pin nhanhSạc không dâySạc ngược không dây

Tiện ích

Bảo mật nâng cao:Mở khoá vân tay dưới màn hìnhMở khoá khuôn mặt
Tính năng đặc biệt:Chế độ đơn giản (Giao diện đơn giản)Mở rộng bộ nhớ RAMMàn hình luôn hiển thị AODÂm thanh Dolby AtmosChặn cuộc gọiChặn tin nhắnChạm 2 lần tắt/sáng màn hìnhTrợ lý ảo Samsung BixbyThu nhỏ màn hình sử dụng một taySamsung PayÂm thanh AKGĐa cửa sổ (chia đôi màn hình)Không gian thứ haiSamsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)Trợ lý ảo Google AssistantLoa képTối ưu game (Game Booster)Chế độ trẻ em (Samsung Kids)
Kháng nước, bụi:IP68
Ghi âm:Ghi âm mặc địnhGhi âm cuộc gọi
Xem phim:MP4AVI3GPFLVMKV
Nghe nhạc:MP3AACOGGAMRMidiWAVM4A

Thông tin chung

Thiết kế:Nguyên khối
Chất liệu:Khung nhôm & Mặt lưng kính cường lực
Kích thước, khối lượng:Dài 163.4 mm - Ngang 78.1 mm - Dày 8.9 mm - Nặng 223 g
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....Xem thêm",,,,,,,,,,
Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/512GB) - Hàng chính hãng,Samsung,0,0,,33.000.000,2024-01-18,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",GIA DỤNG VIỆT,4.4,7.3k+,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,Có,Điện tử,1,"Mô tả sản phẩmMô Tả Sản Phẩm






Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,,,,,,,
Điện Thoại Samsung Galaxy S23 Ultra 5G (8GB/256GB) - Hàng Chính Hãng,Samsung,9,2,5.0,22.490.000,2024-01-27,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",Antam Trading,4.5,2.6k+, 5000 mAh, v5.3,Samsung,Hàn Quốc, Adreno 740, Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Dài 163.4 mm - Ngang 78.1 mm - Dày 8.9 mm, Dynamic AMOLED 2X,Có,Có,Có,"Bộ sản phẩm gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn",SM-S918BZRQXXV,Type-C,216.6 GB,2, Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,"Sản phẩm được bán bởi Antam Trading là hàng mới 100%, mới được kích hoạt bảo hành điện tử, nguyên seal chưa khui hộp, được phân phối chính hãng tại Việt Nam, có đầy đủ tem nhãn phụ của nhà phân phối theo quy định. Bảo hành 12 tháng kể từ ngày nhận tại TTBH Samsung hoặc Antam Trading.",Samsung, Khung nhôm & Mặt lưng kính cường lực,Việt Nam,Type-C,223 g,8GB, 2K+ (1440 x 3088 Pixels),256GB,6.8 inch, Wi-Fi Direct  Dual-band (2.4 GHz/5 GHz)  Wi-Fi 802.11 a/b/g/n/ac/ax  6 GHz,Có,Không,Điện tử,12,"Mô tả sản phẩmGalaxy S23 Ultra (8GB/256GB) Sản xuất tại Samsung Việt Nam

Một số hình ảnh thực tế sản phẩm



Bộ sản phẩm gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn



 Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....Xem thêm",,,,,,,,,,
Điện Thoại Samsung Galaxy S23 Ultra 5G (12GB/512GB) - Hàng Chính Hãng,Samsung,1,1,5.0,25.890.000,2024-01-27,Xanh Skyblue,Antam Trading,4.5,2.6k+,5000 mAh, v5.3,Samsung,Hàn Quốc, Adreno 740, Snapdragon 8 Gen 2 8 nhân," 1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Dài 163.4 mm - Ngang 78.1 mm - Dày 8.9 mm, Dynamic AMOLED 2X,Có,Có,Có,"Bộ sản phẩm gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn",SM-S918BZRQXXV,Type-C,453.7 GB,2, Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,"Sản phẩm được bán bởi Antam Trading là hàng mới 100%, mới được kích hoạt bảo hành điện tử, nguyên seal chưa khui hộp, được phân phối chính hãng tại Việt Nam, có đầy đủ tem nhãn phụ của nhà phân phối theo quy định. Bảo hành 12 tháng kể từ ngày nhận tại TTBH Samsung hoặc Antam Trading.",Samsung, Khung nhôm & Mặt lưng kính cường lực,Việt Nam,Type-C,223 g,12GB, 2K+ (1440 x 3088 Pixels),512GB,6.8 inch, Wi-Fi Direct  Dual-band (2.4 GHz/5 GHz)  Wi-Fi 802.11 a/b/g/n/ac/ax  6 GHz,Có,Có,Điện tử,12,"Mô tả sản phẩmGalaxy S23 Ultra (12GB/512GB) Sản xuất tại Samsung Việt Nam

Bộ sản phẩm gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn



 Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....Xem thêm",,,,,,,,,,
Điện thoại Samsung Galaxy S23 Ultra 5G (8GB/256GB) - Hàng chính hãng ,Samsung,1,0,,27.000.000,2024-01-27,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",GIA DỤNG VIỆT,4.4,7.4k+,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,Có,Điện tử,1,"Mô tả sản phẩmMô Tả Sản Phẩm






Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,,,,,,,
Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/512GB) - Hàng chính hãng,Samsung,0,0,,33.000.000,2024-01-27,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",GIA DỤNG VIỆT,4.4,7.4k+,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,Có,Điện tử,1,"Mô tả sản phẩmMô Tả Sản Phẩm






Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,,,,,,,
Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/1TB) - Hàng chính hãng ,Samsung,0,0,,42.000.000,2024-01-27,"Kem Cotton, Tím Lilac, Xanh Botanic, Đen Phantom",GIA DỤNG VIỆT,4.4,7.4k+,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,Có,Điện tử,1,"Mô tả sản phẩmMô Tả Sản Phẩm






Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,,,,,,,
